,Cp,N=500,N=1000,N=3000,N=5000
0,0.5,1.0,1.0,1.0,1.0
1,0.55,1.0,1.0,1.0,1.0
2,0.6,0.9333333333333333,1.0,1.0,1.0
3,0.65,0.9166666666666666,1.0,1.0,1.0
4,0.7,0.95,0.95,1.0,1.0
5,0.75,0.9666666666666667,0.9333333333333333,1.0,1.0
6,0.8,0.9666666666666667,1.0,0.9833333333333333,1.0
7,0.8500000000000001,0.95,0.9333333333333333,1.0,1.0
8,0.9,0.9166666666666666,0.9166666666666666,1.0,0.9833333333333333
9,0.95,0.95,0.9333333333333333,0.9833333333333333,1.0
10,1.0,0.9333333333333333,0.9166666666666666,1.0,0.9833333333333333
11,1.05,0.8833333333333333,0.95,1.0,0.9333333333333333
12,1.1,0.9,0.9,1.0,1.0
13,1.15,0.95,0.9333333333333333,0.9666666666666667,1.0
14,1.2000000000000002,0.8833333333333333,0.9333333333333333,0.95,0.9666666666666667
15,1.25,0.9166666666666666,0.9833333333333333,0.9666666666666667,0.95
16,1.3,0.95,0.9166666666666666,0.95,1.0
17,1.35,0.9833333333333333,0.9666666666666667,0.9,0.9833333333333333
18,1.4,0.9,0.9333333333333333,0.9333333333333333,0.9333333333333333
19,1.4500000000000002,0.9333333333333333,0.95,0.9666666666666667,0.9666666666666667
20,1.5,0.9333333333333333,0.8833333333333333,0.9166666666666666,0.9833333333333333
